# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
applyes	applies
appoincted	appointed
appointeth	appoints
appointmente	appointment
appoplexie	apoplexy
appoplexy	apoplexy
appou'd	approved
appoynt	appoint
appoynted	appointed
appoyntes	appoints
appoynteth	appointeth
appoyntment	appointment
appoyntmentes	appointments
appoynts	appoints
apppear	appear
apprehend'st	apprehendest
apprehende	apprehend
apprehensiue	apprehensive
apprehention	apprehension
apprehēsions	apprehensions
apprentic'd	apprenticed
apprentice-hood	apprenticehood
apprentise	apprentice
approach'd	approached
approch	approach
approch'd	approached
approche	approach
approches	approaches
approcheth	approaches
approching	approaching
approcht	approached
approchyng	approaching
approofe	approof
approou'd	approved
approoue	approve
approoued	approved
approouedly	approvedly
approouement	approovement
approoues	approves
approov'd	approved
approoved	approved
approu'd	approved
approualls	approvalls
approuals	approvals
approue	approve
approued	approved
approuedly	approvedly
approuements	approvements
approuemēts	approvements
approues	approves
approuing	approving
approv'd	approved
approvment	approument
apprroue	apprrove
appéere	appear
apreachyng	apreaching
aprehend	apprehend
aprehension	apprehension
apricocke	apricock
apricocks	apricots
aproaches	approaches
aproaching	approaching
aproch	approach
aproched	approached
aproching	approaching
aprooued	approved
aproue	approve
aproued	approved
aproues	approves
aproved	approved
apte	apt
aptlie	aptly
aptlye	aptly
aptnes	aptness
aptnesse	aptness
apysh	apish
aqua-fortis	aquafortis
aqua-vitae	aquavitae
aquaeducts	aqueducts
aquaintance	acquaintance
aquainted	acquainted
aquauita	aquavita
aquauitae	aquavitae
aquauite	aquavite
aquauity	aquavity
aquestiō	aquestion
aqvarivs	aqvarius
ar	are
ar't	art
arabyās	arabians
araid	arrayed
araie	array
araigned	arraigned
araignment	arraignment
arain'd	arained
arathvsa	arathusa
aratvs	aratus
aray	array
araye	array
araygned	arraigned
arber	arbour
arbitratour	arbitrator
arbitriment	arbitrament
arbor	arbour
arbors	arbours
arcadie	arcady
arcenall	arsenal
arch'd	arched
arch-angels	archangels
arch-arch-diuell	arch-arch-divell
arch-deacon	archdeacon
arch-diuell	arch-devil
arch-dukes	archdukes
arch-enemy	archenemy
arch-foe	archfoe
arch-knaue	arch-knave
arch-priest	archpriest
arch-rebels	archrebels
arch-traitors	archtraitors
archadian	arcadian
arche	arch
archerie	archery
archieu'd	achieved
archiev'd	achieved
archievements	achievements
archilochvs	archilochus
archt	arched
ardeās	ardeans
ardor	ardour
ardors	ardours
area	aream
aready	already
ares	ears
arest	arrest
arested	arrested
arethmatick	arithmetic
arē	aren
argent-viue	argent-vive
argiaes	argia's
argiuarum	argivarum
argiue	argive
argiues	argives
argoes	argo's
argosie	argosy
argu'd	argued
argueth	argue
argumen	argument
argumente	argument
argumentes	arguments
argumets	arguments
argumēnt	argument
argvment	argument
argvrion	argurion
argvs	argus
ariadnaes	ariadna's
arighte	aright
ariostoes	ariosto's
aristivs	aristius
aristocracie	aristocracy
aristocraticall	aristocratical
aristocratie	aristocracy
aristvs	aristus
arithmatique	arithmetic
arithmeticall	arithmetical
arithmetick	arithmetic
arithmeticke	arithmetic
arithmetike	arithmetic
arithmetique	arithmetic
ariu'd	arrived
ariual	arrival
ariuall	arrival
ariud	arrived
ariue	arrive
ariued	arrived
ariues	arrives
ariuest	arivest
ariuing	arriving
ariv'd	arrived
arivall	arrival
arive	arrive
arives	arrives
ariving	arriving
arize	arise
arke	ark
arm'd	armed
arm'st	armest
armarie	armoury
armd	armed
armde	armed
arme	arm
arme's	arm's
arme-full	armful
arme-holes	armholes
arme-strong	armstrong
armelets	armlets
armepits	armpits
armes	arms
armi'd	armied
armie	army
armie's	army's
armor	armour
armorer	armourer
armorers	armourers
armorie	armoury
armories	armouries
armors	armours
armory	armoury
armoure	armour
armourie	armoury
armst	armest
army-roiall	army-royal
armye	army
armyes	armies
armys	arms
aromaticall	aromatical
aromatick	aromatic
aromatique	aromatic
aroūd	around
arow	arrow
arowe	arrow
arprooued	arprooved
arque	ark
arrable	arable
arraied	arrayed
arraig'd	arraiged
arraign'd	arraigned
arraignd	arraigned
arraigne	arraign
arraignement	arraignment
arrain'd	arraigned
arrainement	arraignment
arrand	errand
arrande	errand
arrangn'd	arrangned
arrant'st	arrantest
arrantst	arrantest
arrayd	arrayed
arraye	array
arrayes	arrays
arre	are
arreares	arrears
arreers	arrears
arrerage	arrearage
arrerages	arrearages
arrignemente	arrignement
arriu'd	arrived
arriu'de	arrived
arriuall	arrival
arriud	arrived
arriud'st	arriudest
arriue	arrive
arriued	arrived
arriues	arrives
arriuing	arriving
arriv'd	arrived
arrivall	arrival
arrivd	arrived
arriú'd	arriúed
arrogancie	arrogancy
arrogāce	arrogance
arrovv	arrow
arrovves	arrows
arrowe	arrow
arrowes	arrows
arrvial	arrival
arrvntivs	arruntius
arryu'd	arrived
arryued	arrived
arsenall	arsenal
art-full	artful
arte	art
arteficially	artificially
artemidorvs	artemidorus
arterie	artery
arteriz'd	arterized
arteryes	arteries
artes	arts
artfull	artful
arthvr	arthur
arthvrs	arthurs
artichocke	artichoke
artichocks	artichokes
artick	arctic
articl'd	articled
articulat	articulate
artificiall	artificial
artify'd	artifyed
artifycyall	artificial
artilery	artillery
artillerie	artillery
artique	arctic
artizan	artisan
artizans	artisans
artles	artless
artlesse	artless
arts-mens	arts-men's
artycles	articles
arvm	arum
arvndee	arundee
arvndel	arundel
arvndell	arundell
aryght	aright
aryse	arise
aryseth	ariseth
arysing	arising
arysynge	arising
aryuall	aryvall
aryue	aryve
aryued	arrived
ascauius	ascavius
ascende	ascend
ascendyng	ascending
ascēd	ascend
ascēdeth	ascendeth
ascrib'd	ascribed
ascribd	ascribed
asflict	afflict
ash-colour'd	ash-coloured
asham'd	ashamed
ashamd	ashamed
ashamde	ashamed
ashcolour	ash-colour
ashe	ash
ashie	ashy
ashoar	ashore
ashonish'd	ashonished
asie	asia
asinivs	asinius
asist	assist
asistance	assistance
ask'd	asked
ask'st	askest
ask't	asked
askaunce	askance
askaunces	askances
askaunt	askant
askd	asked
aske	ask
askes	asks
askt	asked
askyng	asking
aslaue	aslave
asleepe	asleep
asléepe	asleep
asmuch	as
asmuche	asmuch
aso	also
asonder	asunder
asotvs	asotus
aspecte	aspect
aspectes	aspects
aspen-leaf	aspenleaf
aspen-leafe	aspenleaf
asperst	aspersed
aspertion	aspersion
aspertions	aspersions
aspes	asps
aspicious	suspicious
aspick	aspic
aspicks	aspics
aspir'd	aspired
aspir'st	aspirest
aspirde	aspired
aspyr'd	aspired
aspyre	aspire
aspyred	aspired
aspyring	aspiring
assai'd	assayed
assaid	assayed
assaie	assay
assaied	assayed
assail'd	assailed
assaild	assailed
assaile	assail
assailes	assails
assalted	assaulted
assasinate	assassinate
assasinates	assassinates
assaulte	assault
assaultes	assaults
assaultst	assaultest
assaute	assault
assauted	assaulted
assautes	assaults
assay'd	assayed
assayd	assayed
assaye	assay
assayes	assays
assayl'd	assailed
assaylants	assailants
assayld	assailed
assayle	assail
assayled	assailed
assayling	assailing
asse	as
asse-like	asslike
assemblie	assembly
assemblyes	assemblies
assente	assent
assertained	ascertained
assēt	assent
asshamed	ashamed
asshes	ashes
asside	aside
assign'd	assigned
assignde	assigned
assigne	assign
assigneing	assigning
assignes	assigns
assinde	assigned
assing'd	assinged
assirian	assyrian
assirians	assyrians
assise	assize
assistans	assistants
assistaunce	assistance
assiste	assist
assistence	assistance
assistfull	assistful
associat	associate
associats	associates
assoild	assoiled
assone	assoon
assoone	assoon
assotiation	association
assoyle	assoil
assoyled	assoiled
assum'd	assumed
assunder	asunder
assur'd	assured
assur'de	assured
assuraunce	assurance
assurd	assured
assurde	assure
assuredlye	assuredly
assurs'd	assursed
assut'd	assuted
asswag'd	assuaged
asswage	assuage
asswaged	assuaged
asswagement	assuagement
assygne	assign
assynd	assigned
assynde	assigned
assyse	assize
assyst	assist
assystence	assistance
astonied	astonished
astonish'd	astonished
astonish't	astonished
astonisht	astonished
astonyed	astonied
astonyshed	astonished
astound	astounded
astraie	astray
astraye	astray
astrologicall	astrological
astrologie	astrology
astronomicall	astronomical
astronomie	astronomy
asure	assure
asured	assured
aswage	assuage
aswaye	asway
aswel	aswell
asyde	aside
at'	atth'
atauis	atavis
atcheeue	atcheeve
atcheev'd	atcheeved
atcheiue	atcheive
atcheiuing	achieving
atcheue	atcheve
atchieu'd	achieved
atchieud	achieved
atchieue	achieve
atchieue'hem	atchieve'hem
atchieued	achieved
atchieuement	achievement
atchieuements	achievements
atchieuments	achievements
atchiev'd	achieved
atchieve	achieve
atchieved	achieved
atchievement	achievement
atchievements	achievements
atchievments	achievements
atchiu'd	achieved
atchiue	achieve
atchiued	achieved
atchiuement	achievement
atchiuements	achievements
atempt	attempt
atempted	attempted
atempting	attempting
atempts	attempts
ater-loue	ater-love
atheisme	atheism
atheisticall	atheistical
atheniās	athenians
athēs	athens
athiest	atheist
athiests	atheists
athough	although
athversary	adversary
atick	attic
atired	attired
atlantique	atlantic
atome	atom
aton'd	atoned
atribute	attribute
atriuiall	atriviall
attach'd	attached
attach't	attached
attacht	attached
attain'd	attained
attaind	attained
attaine	attain
attaine'd	attaineed
attaines	attains
attayne	attain
attayned	attained
attaynt	attaint
attaynted	attainted
attaynyng	attaining
attemp	attempt
attemperynge	attempering
attemps	attempts
attempte	attempt
attempters	attempers
attemptes	attempts
attemptyng	attempting
attend'st	attendest
attendantes	attendants
attendaunce	attendance
attende	attend
attendents	attendants
attendes	attends
attendynge	attending
attentiue	attentive
attentiuely	attentively
attentiuenesse	attentiveness
attentiuenosse	attentivenosse
atteyne	attain
atteyned	attained
attēd	attend
attēdant	attendant
attēpted	attempted
attēpting	attempting
attēpts	attempts
attillery	artillery
attir'd	attired
attird	attired
attirde	attire
attomes	atoms
attoms	atoms
atton'd	atoned
attonce	atonce
attone	atone
attoned	atoned
attonement	atonement
attornies	atorneys
attractiue	attractive
atturney	attorney
atturneyes	attorneys
atturneys	attorneys
atturnies	attorneys
atturny	attorney
attyr'd	attired
attyre	attire
attyred	attired
attyres	attires
auailable	available
auaile	avail
auaileable	available
auailed	availed
auailes	avails
auaileth	availeth
auarice	avarice
auarices	avarices
auaricious	avaricious
auaritia	avaritia
auaritiae	avaritiae
auaritious	avaritious
auarte	avarte
auaryce	avarice
auast	avast
auaunce	advance
auaunt	avaunt
auaunte	avaunt
auayle	avail
auayles	avails
auayleth	availeth
aucestours	ancestors
aucthor	author
aucthoritie	authority
aucthorities	authorities
aucthority	authority
aucthors	authors
auctorised	authorised
auctoritie	authority
auctoryte	authority
aud	and
audaciousnesse	audaciousness
audacite	audacity
audacitie	audacity
audatious	audacious
audiēce	audience
auditorie	auditory
auditour	auditor
auditours	auditors
audiui	audivi
audyence	audience
audyēce	audience
aue	have
auee'd	aueeed
auemaries	avemaries
auen	aven
aueng'd	avenged
auengd	avenged
auenge	avenge
auenged	avenged
auengment	avengment
auengyng	avenging
auer	aver
auerers	averers
auernall	avernall
auernas	avernas
auerni	averni
auerr'd	averred
auerre	averre
auers'd	aversed
auersation	aversation
auerse	averse
auersion	aversion
auert	avert
auerte	avert
auerted	averted
auerts	averts
auery	avery
aues	aves
auez	avez
augmēt	augment
augure	augur
augures	augurs
augurie	augury
augurisme	augurism
auidorum	avidorum
auidè	avidè
auise	avise
auld	old
aultar	altar
aultare	altar
aultars	altars
aulter	alter
aulters	altars
auncesters	ancestors
auncestor	ancestor
auncestors	ancestors
auncestours	ancestors
auncestrie	ancestry
auncetours	ancestors
aunchient	ancient
auncient	ancient
aunciente	ancient
aunciēt	ancient
auncyent	ancient
aungell	angel
aunsvvered	answered
aunsweare	answer
aunswer	answer
aunswerable	answerable
aunswere	answer
aunswered	answered
aunsweres	answers
aunswereth	answereth
aunswers	answers
aunt's	ant's
aunte	aunt
auntes	ants
auntient	ancient
auntients	ancients
auoid	avoid
auoidance	avoidance
auoide	avoid
auoided	avoided
auoides	avoids
auoiding	avoiding
auoids	avoids
auoidyng	avoiding
auoir	avoir
auord	avord
auother	avother
auothers	avothers
auouch	avouch
auouche	avouch
auouched	avouched
auow	avow
auowable	avowable
auowe	avow
auowes	avows
auoyd	avoid
auoydance	avoidance
auoyde	avoid
auoyded	avoided
auoyding	avoiding
auoyds	avoids
auspitious	auspicious
auspitiously	auspiciously
austeere	austere
austerenesse	austereness
austeritie	austerity
austeritye	austerity
austines	augustine's
austrich	ostrich
autentical	authentical
autenticall	authentical
autentique	authentic
auth'ress	authoress
authenticall	authentical
authentick	authentic
authenticke	authentic
authentique	authentic
author'd	author
authorisde	authorised
authoritie	authority
authoritye	authority
authoritée	authority
authoriz'd	authorised
authorize	authorise
authortie	authority
authour	author
authour's	author's
authours	authors
autor	author
autore	author
autorise	authorise
autorised	authorised
autoryte	authority
autum	autumn
autumnall	autumnal
autumne	autumn
autumnes	autumns
auuergne	awergne
auut	avut
auy	avy
aūcient	ancient
aūgeles	aungeles
aūswered	answered
av.	au.
availe	avail
availes	avails
avayle	avail
avbigny	aubigny
avdelay	audelay
aveng'd	avenged
avernvs	avernus
averr'd	averred
averre	aver
avg	aug
avgvst	august
avgvsta	augusta
avgvsta's	augusta's
avgvstissimae	augustissimae
avgvsto	augusto
avgvstvs	augustus
avis'd	advised
avl.	aul.
avoide	avoid
avow'd	avowed
avowe	avow
avowes	avows
avoy'd	avoid
avoyd	avoid
avoyde	avoid
avoyded	avoided
avoyding	avoiding
avr.	aur.
avrelia	aurelia
avri.	auri.
avrora	aurora
avsonivs	ausonius
avt	aut
avt.	aut.
avthor	author
avthovr's	authour's
avtronivs	autronius
avvake	awake
avvay	away
avve	awe
aw	awe
aw'd	awed
awaie	away
awaite	await
awaites	awaits
awak'd	awaked
awak't	awaked
awakd	awaked
awaken'st	awakenest
awakend	awakened
awakned	awakened
awakt	awaked
awakte	awaked
awarde	award
awaye	away
awayes	aways
awayt	await
awayte	await
awayting	awaiting
awd	awed
awde	awed
awefull	awful
awfull	awful
awhyle	awhile
awither'd	awithered
awkeward	awkward
awle	awl
awles	awls
awne	awn
aworke	awork
awrie	awry
awrye	awry
aws	avus
ax	axe
axell'd	axelled
axeltree	axletree
axiome	axiom
axiomes	axioms
axle-tree	axletree
axletrée	axletree
axyd	axed
ay'd	ayed
ay'll	i'll
ayd	aid
ayde	aid
ayded	aided
aydes	aids
aydeth	aideth
ayding	aiding
ayds	aids
aydyng	aiding
ayer	air
ayerie	airy
ayl'st	ailest
ayle	ail
ayles	ails
aylest	ailest
ayleth	aileth
ayls	ails
aym	aim
aym'd	aimed
aym'st	aimest
aymd	aimed
ayme	aim
aymed	aimed
aymes	aims
aymeth	aimeth
ayming	aiming
ayr	air
ayre	air
ayre's	air's
ayres	airs
ayrie	airy
ayring	airing
ayry	airy
ayrye	airy
azur	azure
azur'd	azured
azurd	azured
azure-colour'd	azure-coloured
azurie	azury
azvre	azure
aërie	aery
aëry	aery
ā	and
ād	and
b'arraign'd	b'arraigned
b'encreas'd	b'encreased
b'vndone	b'undone
b'vntrue	b'untrue
babelliz'd	babellized
babie	baby
babilonian	babylonian
babilons	babylons
babl'd	babbled
bable	babble
babler	babbler
bables	babbles
babling	babbling
bablinge	babbling
bablings	babblings
baboone	baboon
baboones	baboons
babounes	baboons
babylonicall	babylonical
bacchvs	bacchus
bace	base
bacheler	bachelor
bachelers	bachelors
bachellers	bachelors
bachelour	bachelor
bachelours	bachelors
back'd	backed
back'st	backest
back't	backed
back-bite	backbite
back-biter	backbiter
back-door	backdoor
back-doore	backdoor
back-doores	back-doors
back-dore	backdoor
back-dores	back-doors
back-friend	backfriend
back-roome	backroom
back-side	backside
back-sword	backsword
back-ward	backward
back-wards	backwards
back-way	backway
back-winter	backwinter
backe	back
backe's	back's
backe-doore	backdoor
backe-dore	backdoor
backe-dores	back-doors
backe-gate	back-gate
backe-part	back-part
backe-peece	backpiece
backe-side	backside
backe-staire	back-stair
backe-wardes	backwards
backe-wards	backwards
backes	backs
backeside	backside
backeward	backward
backewarde	backward
backewardnesse	backwardness
backewards	backwards
backis	backs
backrupt	bankrupt
backt	backed
backwarde	backward
backwardnesse	backwardness
backwaye	backway
bacward	backward
bad'st	badst
badd	bad
badde	bad
baddest	badst
badlie	badly
badnesse	badness
baffel'd	baffled
baffell'd	baffelled
baffl'd	baffled
baffoul'd	baffouled
baffuld	baffled
baffull'd	baffulled
bafled	baffled
bag-pipe	bagpipe
bag-piper	bagpiper
bag-pipes	bagpipes
bagg	bag
bagg'd	bagged
bagge	bag
bagge-pipe	bagpipe
bagges	bags
baggs	bags
baies	bays
bail'd	bailed
baild	bailed
baile	bail
baileable	bailable
bailes	bails
bailiffe	bailiff
bailiffes	bailiffs
bainfull	baneful
baite	bait
baites	baits
bak	back
bak'd	baked
bak'd-meats	baked-meats
bak't	baked
bak't-meates	baked-meats
bake-house	bakehouse
bake-meate's	bake-meat's
baken	bake
bakon	bacon
baks	backs
bakynge	baking
bal'd	baled
balaams	balaam's
balades	ballads
balanc'd	balanced
balconie	balcony
bald-pate	baldpate
bald-rick	baldric
balde	bald
baldlie	baldly
baldnes	baldness
baldnesse	baldness
baldrick	baldric
baldricke	baldric
balefull	baleful
balet	ballet
baliols	balliols
balke	balk
balkes	balks
balkt	balked
ball'd	balled
ballace	balance
ballad's	balla's
ballad-monger	balladmonger
ballad-royall	ballad-royal
ballade	ballad
ballades	ballads
ballanc'd	balanced
ballanc't	balanced
ballance	balance
ballances	balances
ballanst	balanced
ballass'd	ballassed
ballasse	ballast
ballated	ballasted
ballats	ballads
balle	ball
balles	balls
balm'd	balmed
balme	balm
balmes	balms
balmie	balmy
balsame	balsam
balsomes	balsams
balsoms	balsams
balyues	balyves
ban-dog	bandog
ban-dogge	bandog
ban-dogs	bandogs
ban-quetting	banqueting
banck	bank
banck-route	bank-route
banck-side	bankside
bancke	bank
bancke-side	bankside
banckerout	bankrupt
banckes	banks
bancket	banquet
banckrupt	bankrupt
banckrupts	bankrupts
bancks	banks
band-string	bandstring
bande	band
bandes	bands
bandie	bandy
bandogge	bandog
bandy'd	bandied
bandye	bandy
bandyed	bandied
banefull	baneful
bang'd	banged
bangd	banged
bangyng	banging
banish'd	banished
banish't	banished
