# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
aim'd	aimed
aim'st	aimest
aimd	aimed-at-games
aime	aim
aimes	aims
aimst	aimest
aioyning	adjoining
aire	air
aire's	air's
aires	airs
airey	airy
airie	airy
ake	ache
aker	akre
aking	aching
aknaue	aknave
aknowledge	acknowledge
al	all
al'ce	alice
al-discouering	al-discovering
al-manack	almanac
al-mouing	al-moving
alablaster	alabaster
alacke	alack
alacritie	alacrity
alar'm	alarm
alarm'd	alarmed
alarme	alarm
alarmes	alarms
alarumed	alarmed
alass	alas
alasse	alas
alaualta	alavalta
alay	allay
alayed	allayed
alayes	alleys
albee	albe
albinouanus	albinovanus
albivs	albius
albvcivs	albucius
albvm	album
albvmazar	albumazar
alcaides	alcaids
alcauin	alcavin
alchemie	alchemy
alchemye	alchemy
alchimy	alchemy
alchymie	alchemy
alchymist	alchemist
alcion	altion
alcumie	alchemy
ald-gate	aldgate
alder-man	alderman
alder-mans	alderman's
aldermans	alderman's
aldermens	aldermen's
ale-bench	alebench
ale-house	alehouse
ale-houses	alehouses
ale-wife	alewife
ale-wiues	alewives
ale-wives	alewives
aleadge	allege
aledge	allege
alege	allege
alegiance	allegiance
aleivs	aleius
alembicks	alembics
aleuen	aleven
alexāder	alexander
alfe	alf
algunatraycion	algunatraytion
aliance	alliance
aliaunce	alliance
aliaūts	aliaunts
alied	allied
alies	allies
alitle	alittle
aliue	alive
aliàs	alias
all-deuouring	all-devouring
all-hallond	all-hallown
all-honour'd	all-honoured
all-knowing	allknowing
all-mighty	almighty
all-thing	allthing
all-worthy	allworthy
allacrity	alacrity
allaid	allayed
allarm	alarm
allarm's	alarm's
allarme	alarm
allarmes	alarms
allarms	alarms
allarum	alarum
allarums	alarms
allas	alas
allay'd	allayed
allayd	allayed
allaye	allay
allayes	alleys
alldg'd	alldged
alle	all
alleadg'd	alleged
alleadge	allege
alleadged	alleged
alleadging	alleging
alleag'd	alleged
alleagance	allegiance
alleage	allege
alleageance	allegiance
alleaged	alleged
alleagiance	allegiance
alleaging	alleging
alledge	allege
alledged	alleged
alledgeth	allegeth
alledging	alleging
allegance	allegiance
allegeance	allegiance
allegiancē	allegiancen
allegorie	allegory
allegorized	allegorised
allegoryes	allegories
allerlieueste	allerlieveste
alleyes	alleys
alli'd	allied
alliaunce	alliance
allicholly	melancholy
allicholy	melancholy
allide	allied
allie	ally
allighted	alighted
alll	all
allloue	alllove
allmost	almost
allott	allot
allotteth	allots
allovv'd	allowed
allovvance	allowance
allovve	allow
allovved	allowed
allovves	allows
allow'd	allowed
allowd	allowed
allowe	allow
allowes	allows
allreadie	already
allready	already
allthough	although
allur'd	allured
allurde	allured
alluremēts	allurements
allvp	allup
allwaies	always
allwayes	always
allways	always
ally'd	allied
ally'de	allied
allyance	alliance
allyde	allied
allye	ally
allyed	allied
allyes	allies
almaine	almain
almaines	almains
almanack	almanac
almanack's	almanac's
almanack-maker	almanac-maker
almanacke	almanac
almanacke-makers	almanac-makers
almanackes	almanacs
almanacks	almanacs
almaynes	almains
almes	alms
almes-basket	almsbasket
almes-bread	alms-bread
almes-deedes	almsdeeds
almes-giuer	almsgiver
almes-house	almshouse
almes-houses	almshouses
almes-man	almsman
almesgigiuers	almesgigivers
almeshouses	almshouses
almightie	almighty
almighties	almighty's
almightye	almighty
almon	almond
almond-milke	almond-milk
almost-aequall	almost-aequal
almoste	almost
alms-mony	alms-money
almyghty	almighty
alofte	aloft
along'st	alongst
alonge	along
alonly	alonely
alonlye	alonely
aloofe	aloof
alooffe	aloof
alot	allot
alott	allot
alotted	allotted
aloude	aloud
aloue	alove
alouing	aloving
aloun	alone
